ISBN,Title,Edition,Year
52799382,"Do Androids Dream of Electric Sheep?",1,1973
85273876,"Something Wicked This Way Comes",1,1983
58209935,"The Hitchhiker's Guide to the Galaxy",1,2008
74229475,"Pride and Prejudice and Zombies",1,1918
66269722,"I Was Told There'd Be Cake",1,1948
41371466,"The Curious Incident of the Dog in the Night-Time",1,1979
74843713,"The Hollow Chocolate Bunnies of the Apocalypse",1,1921
84711123,"Eats, Shoots & Leaves: The Zero Tolerance Approach to Punctuation",1,1949
65824440,"To Kill a Mockingbird",1,1900
26799126,"Are You There, Vodka? It's Me, Chelsea",1,1922
23170196,"The Unbearable Lightness of Being",1,1985
70174657,"Midnight in the Garden of Good and Evil: A Savannah Story",1,1971
70568046,"The Perks of Being a Wallflower",1,2008
53001908,"The Earth, My Butt, and Other Big Round Things",1,1922
64494248,"Cloudy With a Chance of Meatballs",1,1978
51372721,"Stop Dressing Your Six-Year-Old Like a Skank: A Slightly Tarnished Southern Belle's Words of Wisdom",1,1907
43488136,"Me Talk Pretty One Day",1,1935
20722517,"One Hundred Years of Solitude",1,1909
38149366,"The Long Dark Tea-Time of the Soul",1,1914
38548668,"John Dies at the End",1,1909
82531446,"Where the Wild Things Are",1,1957
68676944,"A Heartbreaking Work of Staggering Genius",1,1962
36690904,"An Arsonist's Guide to Writers' Homes in New England",1,1961
53251929,"The Man Without Qualities",1,1980
11524160,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",1,1943
70413094,"Another Bullshit Night in Suck City",1,1929
63722691,"How to Lose Friends and Alienate People",1,1967
64205116,"The Gordonston Ladies Dog Walking Club",1,1998
90117055,"So Long, and Thanks for All the Fish",1,1908
33394467,"The Zombie Survival Guide: Complete Protection from the Living Dead",1,1983
71742899,"A Clockwork Orange",1,1934
99287393,"I Am America",1,1982
29409437,"Neverwhere",1,1956
10026274,"Extremely Loud and Incredibly Close",1,1931
22342301,"I Have No Mouth and I Must Scream",1,2000
18572283,"The Devil Wears Prada",1,2004
23508706,"When You Are Engulfed in Flames",1,2010
76510972,"A Thousand Splendid Suns",1,1910
29992729,"I Still Miss My Man But My Aim Is Getting Better",1,1943
77825120,"Their Eyes Were Watching God",1,1900
54495733,"The Guernsey Literary and Potato Peel Pie Society",1,1933
55334053,"A Confederacy of Dunces",1,1917
60725861,"The Grapes of Wrath",1,1971
66493191,"The Silence of the Lambs",1,1930
96478058,"A Wrinkle in Time",1,1939
88749714,"Tequila Makes Her Clothes Fall Off",1,1938
57101159,"The Man Who Mistook His Wife for a Hat and Other Clinical Tales",1,1938
54956525,"For Whom the Bell Tolls",1,1974
26770519,"Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values",1,1947
38401616,"Fear and Loathing in Las Vegas",1,1953
47390462,"How to Shit in the Woods: An Environmentally Sound Approach to a Lost Art",1,1983
70920498,"Love in the Time of Cholera",1,2005
11822367,"Send More Idiots",1,1904
24905123,"If on a Winter's Night a Traveller",1,1934
49512337,"The Restaurant at the End of the Universe",1,1975
70066210,"Brave New World",1,1948
18772124,"The Man Who Was Thursday: A Nightmare",1,1963
36481724,"No Country For Old Men",1,1931
18897729,"All Quiet on the Western Front",1,1935
79623557,"The Sound and the Fury",1,1971
89934950,"The Catcher in the Rye",1,1904
37039878,"The Spy Who Came In from the Cold",1,1969
94632193,"I Hope They Serve Beer in Hell",1,1942
64149464,"The Electric Kool-Aid Acid Test",1,1960
24562594,"The Lone Ranger and Tonto Fistfight in Heaven",1,2000
63830630,"And Then There Were None",1,1932
73738012,"What to Say When You Talk to Yourself",1,1954
78146652,"Don't Pee on My Leg and Tell Me It's Raining: America's Toughest Family Court Judge Speaks Out",1,2000
88319942,"The Moon is a Harsh Mistress",1,1942
11775668,"Well-Behaved Women Seldom Make History",1,1997
11633650,"the Particular Sadness of Lemon Cake",1,2000
13172789,"Nostradamus Ate My Hamster",1,1975
75737419,"The Lord of the Rings",1,1903
65594252,"In God We Trust: All Others Pay Cash",1,1960
97316790,"She Got Up Off The Couch: And Other Heroic Acts From Mooreland, Indiana",1,2006
45452449,"Of Mice and Men",1,1942
67348677,"As I Lay Dying",1,1998
94502125,"Life, the Universe and Everything",1,1933
17603912,"The Effect of Gamma Rays on Man-in-the-Moon Marigolds",1,1906
70445485,"Hard-Boiled Wonderland and the End of the World",1,1935
25890836,"I Capture the Castle",1,1986
97892953,"This Is Not a Novel",1,1989
10473662,"Don't Bend Over in the Garden, Granny, You Know Them Taters Got Eyes",1,1930
69111021,"Sense and Sensibility and Sea Monsters",1,1991
78455438,"A Short History of Tractors in Ukrainian",1,1912
82611330,"Captain Underpants and the Perilous Plot of Professor Poopypants",1,2005
47706971,"How to Talk About Books You Haven't Read",1,1928
35700201,"The Importance of Being Earnest",1,1976
14641702,"Tinker, Tailor, Soldier, Spy",1,1925
77800151,"Dogshit Saved My Life",1,1963
70737154,"The Lust Lizard of Melancholy Cove",1,1937
82638242,"There's a Wocket in My Pocket!",1,1929